Feature,MeanAbsSHAP
client_installments_NUM_INSTALMENT_VERSION_mean_sum,0.007231405525332491
previous_DAYS_FIRST_DUE_sum,0.007053340024946267
previous_NAME_PORTFOLIO_XNA_mean,0.007002939972158285
client_credit_CNT_DRAWINGS_CURRENT_max_min,0.006960193748050232
previous_NAME_CASH_LOAN_PURPOSE_XNA_sum,0.006954188460020558
client_bureau_balance_STATUS_X_sum_mean,0.006930035934601143
client_cash_SK_DPD_DEF_max_sum,0.006572496669147504
bureau_DAYS_CREDIT_ENDDATE_mean,0.006540532074560163
previous_NAME_GOODS_CATEGORY_Computers_mean,0.006537426882976861
bureau_AMT_CREDIT_SUM_mean,0.006393564881788152
client_credit_AMT_INST_MIN_REGULARITY_max_mean,0.00636373051911141
previous_NAME_CONTRACT_STATUS_Canceled_mean,0.006243452147546517
client_installments_NUM_INSTALMENT_NUMBER_max_min,0.006161061853842532
previous_NAME_TYPE_SUITE_Spouse partner_mean,0.006091673702257514
client_installments_AMT_PAYMENT_min_max,0.00605946541700667
client_cash_NAME_CONTRACT_STATUS_Active_sum_mean,0.006040587108606026
previous_NAME_YIELD_GROUP_low_action_mean,0.005783166297659531
bureau_AMT_CREDIT_SUM_LIMIT_sum,0.005763885744324589
client_bureau_balance_STATUS_0_sum_sum,0.005683680359669175
bureau_AMT_CREDIT_SUM_sum,0.005596859232393594
bureau_AMT_ANNUITY_mean,0.0055419611122511266
bureau_DAYS_CREDIT_ENDDATE_sum,0.005514496089025425
previous_DAYS_LAST_DUE_1ST_VERSION_sum,0.005445595715108688
client_bureau_balance_STATUS_X_sum_min,0.0053827195844527356
previous_DAYS_DECISION_min,0.00537077001330942
previous_PRODUCT_COMBINATION_Cash Street middle_mean,0.005259245318351257
INCOME_PER_PERSON,0.005082468776902967
client_cash_CNT_INSTALMENT_sum_min,0.005019046931455608
previous_NAME_SELLER_INDUSTRY_Consumer electronics_mean,0.004926404201209549
previous_DAYS_LAST_DUE_1ST_VERSION_mean,0.004911432214247365
bureau_DAYS_CREDIT_sum,0.004899139603692664
client_cash_NAME_CONTRACT_STATUS_Active_mean_min,0.004840192906942419
client_credit_AMT_CREDIT_LIMIT_ACTUAL_max_sum,0.004772402091363889
bureau_DAYS_ENDDATE_FACT_min,0.004613041296484448
previous_CODE_REJECT_REASON_LIMIT_mean,0.004568777159823117
ORGANIZATION_TYPE_Construction,0.0045218063724211935
bureau_DAYS_CREDIT_mean,0.004520804826413374
APARTMENTS_AVG,0.004437511045736663
client_installments_AMT_PAYMENT_sum_sum,0.004422521027761554
previous_RATE_DOWN_PAYMENT_mean,0.004387447127516351
client_bureau_balance_STATUS_0_sum_mean,0.004239766046266405
previous_PRODUCT_COMBINATION_Cash X-Sell low_mean,0.004128610358158715
previous_PRODUCT_COMBINATION_Cash Street low_mean,0.004119088785379155
previous_DAYS_LAST_DUE_max,0.004103275326147143
previous_SELLERPLACE_AREA_min,0.004059261048954133
client_installments_NUM_INSTALMENT_VERSION_mean_min,0.0040274271130378726
bureau_AMT_CREDIT_SUM_OVERDUE_mean,0.0039979571694190716
previous_CHANNEL_TYPE_Stone_mean,0.003917030713621042
client_credit_AMT_PAYMENT_CURRENT_min_sum,0.003901670342385641
previous_DAYS_DECISION_sum,0.0038476324275355154
previous_AMT_ANNUITY_max,0.0038182061034460215
OCCUPATION_TYPE_Drivers,0.003816789448251135
client_cash_CNT_INSTALMENT_FUTURE_min_sum,0.003765343134964965
previous_NAME_GOODS_CATEGORY_Furniture_mean,0.0037578210325412845
client_credit_AMT_PAYMENT_TOTAL_CURRENT_max_sum,0.003753520452243073
FLAG_DOCUMENT_18,0.0037374026238435657
ORGANIZATION_TYPE_School,0.0037368679202616356
previous_AMT_ANNUITY_mean,0.0037031473758150015
previous_CHANNEL_TYPE_AP+ (Cash loan)_mean,0.0036436378959527377
previous_DAYS_DECISION_max,0.003595727458546153
client_credit_AMT_DRAWINGS_ATM_CURRENT_max_sum,0.0035653162305890984
LIVINGAREA_AVG,0.003548068795177304
previous_AMT_DOWN_PAYMENT_min,0.0035135342993038526
client_cash_MONTHS_BALANCE_min_sum,0.003501283007074387
previous_NAME_CASH_LOAN_PURPOSE_XNA_mean,0.0034778358521326243
client_installments_DAYS_ENTRY_PAYMENT_sum_sum,0.0034605224413584903
client_installments_AMT_PAYMENT_mean_min,0.0034463920407720996
bureau_AMT_CREDIT_MAX_OVERDUE_min,0.0034371263656530534
client_installments_AMT_PAYMENT_mean_max,0.0034252353851088237
previous_AMT_ANNUITY_min,0.003281466952589501
FLAG_DOCUMENT_16,0.003261355558040131
client_installments_DAYS_ENTRY_PAYMENT_min_mean,0.003249912458982536
previous_AMT_CREDIT_min,0.003231732258298001
client_installments_DAYS_ENTRY_PAYMENT_sum_max,0.0031827602420290897
client_installments_AMT_PAYMENT_sum_max,0.0031519461062549776
client_installments_AMT_INSTALMENT_max_mean,0.0030653588149939784
bureau_DAYS_ENDDATE_FACT_mean,0.0030142473937863658
client_installments_AMT_INSTALMENT_max_sum,0.0029321005945749943
client_installments_AMT_INSTALMENT_min_mean,0.002904421434311939
client_cash_MONTHS_BALANCE_sum_max,0.0028577450374178506
client_credit_AMT_RECIVABLE_min_min,0.0028449640519945933
client_cash_CNT_INSTALMENT_min_mean,0.002789911841450478
client_installments_AMT_INSTALMENT_max_max,0.0027516136055427487
client_installments_AMT_INSTALMENT_min_min,0.0027415273812517456
bureau_DAYS_CREDIT_UPDATE_min,0.00268931639866466
client_credit_CNT_DRAWINGS_CURRENT_sum_sum,0.002687787442051452
previous_NAME_PRODUCT_TYPE_XNA_mean,0.0026478451899643635
previous_AMT_GOODS_PRICE_min,0.00263704949721029
previous_CODE_REJECT_REASON_SCOFR_mean,0.002577641646150815
ORGANIZATION_TYPE_Military,0.002528859735042988
client_credit_MONTHS_BALANCE_sum_sum,0.002467724895701009
previous_NAME_SELLER_INDUSTRY_Connectivity_mean,0.002438026663893708
client_cash_MONTHS_BALANCE_min_mean,0.0024235397402883247
previous_NAME_CONTRACT_STATUS_Approved_mean,0.0023839563051131834
previous_NAME_YIELD_GROUP_XNA_mean,0.002351283866207727
client_cash_SK_DPD_DEF_max_mean,0.002313885286873311
LIVINGAPARTMENTS_AVG,0.0022743137861096015
bureau_DAYS_CREDIT_UPDATE_mean,0.002240958528255698
client_bureau_balance_MONTHS_BALANCE_max_mean,0.002228328754146648
client_credit_AMT_INST_MIN_REGULARITY_mean_mean,0.0021319268878497916
previous_CHANNEL_TYPE_Channel of corporate sales_mean,0.002068434620495019
previous_PRODUCT_COMBINATION_POS mobile with interest_mean,0.0020522568673085446
client_credit_AMT_CREDIT_LIMIT_ACTUAL_sum_min,0.002043191992124403
previous_PRODUCT_COMBINATION_POS industry with interest_mean,0.001937670345482978
previous_SELLERPLACE_AREA_mean,0.0019057329024569007
previous_HOUR_APPR_PROCESS_START_mean,0.0018994189025490543
bureau_AMT_ANNUITY_min,0.0018447503539721145
bureau_DAYS_CREDIT_ENDDATE_min,0.001836410023110974
previous_AMT_CREDIT_max,0.0018061283145525782
client_credit_CNT_INSTALMENT_MATURE_CUM_mean_min,0.0017832823839141073
client_installments_NUM_INSTALMENT_VERSION_sum_mean,0.0017588456076615602
COMMONAREA_AVG,0.0017096124746801564
previous_DAYS_LAST_DUE_1ST_VERSION_min,0.001696703060190681
previous_NAME_PAYMENT_TYPE_XNA_mean,0.001693876491777189
client_bureau_balance_STATUS_0_mean_sum,0.0016813713727373393
client_credit_AMT_PAYMENT_TOTAL_CURRENT_mean_min,0.0016285631256958933
client_cash_MONTHS_BALANCE_sum_sum,0.0016203758007971203
client_cash_CNT_INSTALMENT_sum_sum,0.0016057113767300576
previous_NAME_PRODUCT_TYPE_x-sell_mean,0.0015443304706210964
client_installments_AMT_PAYMENT_sum_min,0.0014617880231172732
client_bureau_balance_STATUS_X_mean_sum,0.0014526318034824594
client_bureau_balance_MONTHS_BALANCE_sum_sum,0.0014475214976855345
client_cash_NAME_CONTRACT_STATUS_Completed_mean_mean,0.0013990443224082708
previous_AMT_CREDIT_mean,0.0013499361431493146
bureau_CREDIT_ACTIVE_Sold_mean,0.0013447370964267873
client_credit_CNT_DRAWINGS_POS_CURRENT_sum_min,0.0012950495767627798
client_bureau_balance_STATUS_C_mean_mean,0.0012727865627751188
client_bureau_balance_STATUS_X_mean_mean,0.0012547614281086493
bureau_CREDIT_TYPE_Car loan_mean,0.0012353641220162657
client_credit_AMT_PAYMENT_TOTAL_CURRENT_max_mean,0.0011711124150789425
client_bureau_balance_MONTHS_BALANCE_mean_min,0.0011675658769529351
client_installments_AMT_PAYMENT_mean_mean,0.0011493633247369173
client_credit_AMT_DRAWINGS_POS_CURRENT_sum_sum,0.001095702484570781
previous_AMT_ANNUITY_sum,0.0010385294434382209
client_bureau_balance_STATUS_X_sum_sum,0.000986227022740532
client_credit_AMT_DRAWINGS_CURRENT_mean_min,0.0009464444246973925
client_bureau_balance_STATUS_0_mean_min,0.0009437734074567587
client_bureau_balance_STATUS_0_sum_max,0.000932480374463878
client_cash_CNT_INSTALMENT_FUTURE_mean_sum,0.0008812787700220692
previous_NAME_SELLER_INDUSTRY_XNA_mean,0.0008411185576696743
client_credit_AMT_CREDIT_LIMIT_ACTUAL_mean_min,0.0008151631226328719
client_bureau_balance_STATUS_1_mean_max,0.0008008325546215182
client_credit_MONTHS_BALANCE_max_sum,0.0007734999559443827
client_bureau_balance_STATUS_1_mean_min,0.0007532112559487626
client_cash_CNT_INSTALMENT_FUTURE_sum_mean,0.000730486534520976
previous_CHANNEL_TYPE_Credit and cash offices_mean,0.0007177145988120567
client_credit_AMT_DRAWINGS_CURRENT_sum_mean,0.0007017268539676708
previous_CNT_PAYMENT_sum,0.0006683559076867528
previous_NAME_PORTFOLIO_Cash_mean,0.0006235422405004623
previous_CHANNEL_TYPE_Regional / Local_mean,0.000617505265832877
previous_DAYS_LAST_DUE_min,0.0005970927996709582
NAME_HOUSING_TYPE_House / apartment,0.0005274426399039738
NAME_HOUSING_TYPE_Office apartment,0.0005161834709639792
client_bureau_balance_STATUS_X_mean_min,0.0004973437595315685
client_cash_SK_DPD_DEF_mean_min,0.0004931339048116783
client_bureau_balance_STATUS_1_mean_mean,0.00046905847813688697
previous_PRODUCT_COMBINATION_Cash Street high_mean,0.00046846036997237616
previous_DAYS_DECISION_mean,0.0004592058869533424
client_cash_NAME_CONTRACT_STATUS_Returned to the store_sum_sum,0.00043676659221794276
ORGANIZATION_TYPE_Industry type 9,0.00043361355056574096
client_bureau_balance_MONTHS_BALANCE_sum_min,0.0004258887230751118
client_bureau_balance_STATUS_C_sum_mean,0.000416266382831807
client_credit_AMT_INST_MIN_REGULARITY_sum_sum,0.0003568608686115427
client_bureau_balance_STATUS_X_mean_max,0.0003113305199875731
client_bureau_balance_STATUS_C_mean_sum,0.0002347542280061856
client_bureau_balance_STATUS_C_sum_max,0.00020632970570912153
client_credit_CNT_DRAWINGS_CURRENT_max_sum,0.00019936847027549883
client_credit_AMT_CREDIT_LIMIT_ACTUAL_min_min,0.00019594748574979076
client_credit_AMT_CREDIT_LIMIT_ACTUAL_min_sum,0.00017729169804887274
client_credit_AMT_DRAWINGS_POS_CURRENT_max_sum,0.0
previous_NAME_GOODS_CATEGORY_Gardening_mean,0.0
previous_NAME_CONTRACT_STATUS_Unused offer_mean,0.0
previous_NAME_SELLER_INDUSTRY_Construction_mean,0.0
previous_CODE_REJECT_REASON_SCO_mean,0.0
previous_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_mean,0.0
previous_PRODUCT_COMBINATION_POS industry without interest_mean,0.0
previous_NAME_SELLER_INDUSTRY_Clothing_mean,0.0
FLAG_DOCUMENT_13,0.0
client_bureau_balance_STATUS_C_mean_max,0.0
previous_NAME_CASH_LOAN_PURPOSE_Repairs_mean,0.0
client_bureau_balance_STATUS_0_mean_mean,0.0
bureau_AMT_CREDIT_SUM_LIMIT_min,0.0
bureau_CREDIT_TYPE_Another type of loan_mean,0.0
client_bureau_balance_MONTHS_BALANCE_max_sum,0.0
client_bureau_balance_STATUS_1_sum_mean,0.0
client_cash_NAME_CONTRACT_STATUS_Returned to the store_mean_max,0.0
previous_PRODUCT_COMBINATION_POS other with interest_mean,0.0
client_bureau_balance_STATUS_C_mean_min,0.0
ORGANIZATION_TYPE_Bank,0.0
previous_NAME_GOODS_CATEGORY_Sport and Leisure_mean,0.0
